date,countryCode,country,provinceCode,province,cityCode,city,confirmed,suspected,cured,dead
2020-04-30,CN,中国,420000,湖北省,,,68128,0,63616,4512
2020-04-30,CN,中国,420000,湖北省,4200y0,监狱系统,0,0,0,0
2020-04-30,CN,中国,420000,湖北省,4200y1,境外输入,0,0,0,0
2020-04-30,CN,中国,420000,湖北省,420100,武汉市,50333,0,46464,3869
2020-04-30,CN,中国,420000,湖北省,420200,黄石市,1015,0,976,39
2020-04-30,CN,中国,420000,湖北省,420300,十堰市,672,0,664,8
2020-04-30,CN,中国,420000,湖北省,420500,宜昌市,931,0,894,37
2020-04-30,CN,中国,420000,湖北省,420600,襄阳市,1175,0,1135,40
2020-04-30,CN,中国,420000,湖北省,420700,鄂州市,1394,0,1335,59
2020-04-30,CN,中国,420000,湖北省,420800,荆门市,928,0,887,41
2020-04-30,CN,中国,420000,湖北省,420900,孝感市,3518,0,3389,129
2020-04-30,CN,中国,420000,湖北省,421000,荆州市,1580,0,1528,52
2020-04-30,CN,中国,420000,湖北省,421100,黄冈市,2907,0,2782,125
2020-04-30,CN,中国,420000,湖北省,421200,咸宁市,836,0,821,15
2020-04-30,CN,中国,420000,湖北省,421300,随州市,1307,0,1262,45
2020-04-30,CN,中国,420000,湖北省,422800,恩施土家族苗族自治州,252,0,245,7
2020-04-30,CN,中国,420000,湖北省,429004,仙桃市,575,0,553,22
2020-04-30,CN,中国,420000,湖北省,429005,潜江市,198,0,189,9
2020-04-30,CN,中国,420000,湖北省,429006,天门市,496,0,481,15
2020-04-30,CN,中国,420000,湖北省,429021,神农架林区,11,0,11,0
2020-04-30,CN,中国,430000,湖南省,,,1019,0,1015,4
2020-04-30,CN,中国,430000,湖南省,4300y0,境外输入,1,0,1,0
2020-04-30,CN,中国,430000,湖南省,430100,长沙市,242,0,240,2
2020-04-30,CN,中国,430000,湖南省,430200,株洲市,80,0,80,0
2020-04-30,CN,中国,430000,湖南省,430300,湘潭市,36,0,36,0
2020-04-30,CN,中国,430000,湖南省,430400,衡阳市,48,0,48,0
2020-04-30,CN,中国,430000,湖南省,430500,邵阳市,102,0,101,1
2020-04-30,CN,中国,430000,湖南省,430600,岳阳市,156,0,155,1
2020-04-30,CN,中国,430000,湖南省,430700,常德市,82,0,82,0
2020-04-30,CN,中国,430000,湖南省,430800,张家界市,5,0,5,0
2020-04-30,CN,中国,430000,湖南省,430900,益阳市,60,0,60,0
2020-04-30,CN,中国,430000,湖南省,431000,郴州市,39,0,39,0
2020-04-30,CN,中国,430000,湖南省,431100,永州市,44,0,44,0
2020-04-30,CN,中国,430000,湖南省,431200,怀化市,40,0,40,0
2020-04-30,CN,中国,430000,湖南省,431300,娄底市,76,0,76,0
2020-04-30,CN,中国,430000,湖南省,433100,湘西土家族苗族自治州,8,0,8,0
2020-04-30,CN,中国,440000,广东省,,,1588,0,1557,8
2020-04-30,CN,中国,440000,广东省,4400xx,未公布来源,0,0,1,0
2020-04-30,CN,中国,440000,广东省,4400y0,境外输入,0,0,0,0
2020-04-30,CN,中国,440000,广东省,440100,广州市,504,0,491,1
2020-04-30,CN,中国,440000,广东省,440200,韶关市,10,0,9,1
2020-04-30,CN,中国,440000,广东省,440300,深圳市,462,0,454,3
2020-04-30,CN,中国,440000,广东省,440400,珠海市,103,0,102,1
2020-04-30,CN,中国,440000,广东省,440500,汕头市,26,0,26,0
2020-04-30,CN,中国,440000,广东省,440600,佛山市,100,0,95,0
2020-04-30,CN,中国,440000,广东省,440700,江门市,24,0,24,0
2020-04-30,CN,中国,440000,广东省,440800,湛江市,24,0,24,0
2020-04-30,CN,中国,440000,广东省,440900,茂名市,14,0,14,0
2020-04-30,CN,中国,440000,广东省,441200,肇庆市,20,0,19,1
2020-04-30,CN,中国,440000,广东省,441300,惠州市,62,0,62,0
2020-04-30,CN,中国,440000,广东省,441400,梅州市,17,0,16,0
2020-04-30,CN,中国,440000,广东省,441500,汕尾市,5,0,5,0
2020-04-30,CN,中国,440000,广东省,441600,河源市,5,0,4,0
2020-04-30,CN,中国,440000,广东省,441700,阳江市,14,0,14,0
2020-04-30,CN,中国,440000,广东省,441800,清远市,12,0,12,0
2020-04-30,CN,中国,440000,广东省,441900,东莞市,100,0,99,1
